Model/Approach,RMSE Residual
ShapeNetSimple A,1.4668566381479933
ShapeNetSimple B,0.19526280843083618
ShapeNetSimple C,0.5323277006110672
ShapeNetSimple D,0.39522113253970975
ShapeNetSimple E,0.20288035963734835
ShapeNetSimple F,0.5656874986278985
ShapeNetDeep A,12.43311968970851
ShapeNetDeep B,0.18226714544791095
ShapeNetDeep C,0.18306671653960407
ShapeNetDeep D,12.204695795469279
ShapeNetDeep E,0.18240199884416744
ShapeNetDeep F,0.19198202044317345
Weighted Fit,0.17776207129154958
